"Age","Abundance","Mature","Weight","Fishery","Survey"
"4",2838,2,208,0,0.04
"5",2359,3,351,0,0.07
"6",2081,5,509,0.01,0.12
"7",1670,10,672,0.03,0.2
"8",1815,18,830,0.08,0.32
"9",1535,29,978,0.22,0.47
"10",4082,44,1113,0.48,0.62
"11",3872,61,1233,0.75,0.75
"12",3954,75,1339,0.91,0.85
"13",2338,85,1431,0.97,0.91
"14",7630,92,1510,0.99,0.95
"15",3115,96,1578,1,0.97
"16",3449,98,1635,1,0.99
"17",3768,99,1684,1,0.99
"18",2043,99,1724,1,1
"19",1586,100,1759,1,1
"20",1160,100,1787,1,1
"21",946,100,1811,1,1
"22",770,100,1831,1,1
"23",1463,100,1848,1,1
"24",1373,100,1862,1,1
"25",868,100,1873,1,1
"26",1652,100,1882,1,1
"27",1192,100,1890,1,1
"28",238,100,1897,1,1
"29",1495,100,1902,1,1
"30+",4220,100,1907,1,1
