"name","1991","1992","1993","1994","1995","1996","1997","1998","1999","2007","2009","2011","2013","2015","2017","2019","2021","2023"
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",0,0.002,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0
"28",0,0.002,0,0.002,0,0.002,0,0,0,0.001,0,0,0,0,0,0.001,0,0
"29",0,0.003,0,0,0,0.008,0,0,0,0,0,0,0,0.001,0,0.001,0,0
"30",0.002,0.005,0,0.002,0,0.012,0,0,0,0,0,0,0,0,0.001,0.002,0,0
"31",0.002,0.011,0,0,0.001,0.006,0.001,0,0,0,0.001,0,0,0.001,0.001,0.002,0.001,0
"32",0.003,0.012,0,0,0,0.004,0.001,0,0,0,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001
"33",0.004,0.015,0,0.002,0,0.014,0.004,0.001,0,0.002,0.002,0.001,0.001,0.002,0.003,0.003,0.004,0.001
"34",0.007,0.019,0,0.001,0.001,0.008,0.008,0.001,0,0.003,0.004,0.001,0.004,0.006,0.006,0.003,0.006,0.002
"35",0.025,0.019,0,0.004,0.002,0.004,0.019,0,0.002,0.003,0.006,0.001,0.004,0.007,0.008,0.009,0.011,0.005
"36",0.029,0.015,0,0.004,0.005,0.01,0.026,0.001,0.002,0.005,0.01,0.001,0.004,0.007,0.011,0.019,0.013,0.006
"37",0.019,0.017,0.001,0.003,0.004,0.008,0.042,0.003,0.001,0.01,0.013,0.002,0.005,0.014,0.023,0.031,0.019,0.013
"38",0.024,0.027,0.001,0.009,0.007,0.002,0.041,0.006,0.004,0.014,0.021,0.007,0.009,0.017,0.031,0.043,0.026,0.019
"39",0.069,0.036,0.006,0.004,0.02,0.01,0.034,0.012,0.006,0.019,0.027,0.014,0.012,0.023,0.044,0.052,0.039,0.026
"40",0.084,0.108,0.02,0.019,0.028,0.033,0.041,0.027,0.011,0.035,0.043,0.026,0.018,0.035,0.059,0.07,0.055,0.036
"41",0.134,0.117,0.046,0.041,0.045,0.052,0.06,0.059,0.028,0.057,0.049,0.044,0.031,0.038,0.069,0.078,0.081,0.057
"42",0.145,0.125,0.103,0.074,0.059,0.082,0.088,0.099,0.079,0.075,0.07,0.077,0.053,0.049,0.07,0.09,0.083,0.074
"43",0.14,0.114,0.145,0.076,0.084,0.093,0.106,0.147,0.116,0.103,0.086,0.107,0.081,0.078,0.089,0.091,0.089,0.1
"44",0.136,0.117,0.2,0.146,0.098,0.12,0.112,0.17,0.164,0.115,0.104,0.121,0.12,0.108,0.097,0.097,0.096,0.12
"45",0.085,0.1,0.197,0.171,0.124,0.128,0.119,0.163,0.182,0.131,0.121,0.137,0.132,0.128,0.113,0.092,0.095,0.123
"46",0.057,0.073,0.151,0.176,0.126,0.126,0.097,0.126,0.148,0.132,0.123,0.128,0.12,0.122,0.119,0.083,0.089,0.108
"47",0.023,0.033,0.078,0.123,0.138,0.097,0.069,0.08,0.109,0.109,0.11,0.103,0.123,0.115,0.1,0.081,0.077,0.099
"48",0.007,0.014,0.031,0.078,0.089,0.103,0.049,0.053,0.064,0.091,0.081,0.085,0.1,0.089,0.072,0.057,0.078,0.077
"49",0.002,0.006,0.015,0.04,0.075,0.047,0.028,0.03,0.045,0.051,0.056,0.061,0.069,0.067,0.039,0.042,0.056,0.051
"50",0,0.003,0.004,0.015,0.054,0.019,0.02,0.011,0.021,0.024,0.032,0.038,0.052,0.038,0.021,0.022,0.039,0.04
"51",0,0.002,0.002,0.005,0.026,0.012,0.014,0.006,0.011,0.011,0.021,0.024,0.031,0.026,0.008,0.011,0.023,0.023
"52+",0.001,0.002,0.001,0.006,0.015,0,0.019,0.004,0.007,0.009,0.019,0.021,0.029,0.028,0.011,0.017,0.02,0.02
"n_iss",2012,5495,3659,2117,1794,515,3090,2565,1684,4599,4843,3550,4792,4784,4575,4920,4534,6584
"n_h",42,127,64,38,26,12,53,34,83,405,415,331,404,507,474,676,609,760
"n_ess",32,40,29,44,60,50,137,49,44,246,505,398,438,1214,230,192,637,872
