"name","2000","2001","2002","2003","2004","2005","2006","2008","2010","2012","2014","2016","2018","2020","2022"
"4",0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0.002,0.002,0,0.002,0.005,0,0,0,0,0,0.003,0.006,0,0.002,0.003
"7",0,0.004,0.007,0,0.007,0.002,0.006,0.007,0,0.002,0,0.002,0.01,0.007,0.007
"8",0.012,0.004,0.009,0.019,0.002,0.005,0.026,0.007,0.006,0.003,0.019,0.013,0.059,0.018,0.021
"9",0.007,0.043,0.011,0.03,0.055,0.014,0.036,0.038,0.033,0.003,0.008,0.034,0.048,0.018,0.048
"10",0.034,0.035,0.104,0.046,0.069,0.092,0.078,0.086,0.054,0.025,0.036,0.058,0.071,0.091,0.069
"11",0.049,0.068,0.109,0.177,0.066,0.104,0.146,0.109,0.069,0.09,0.022,0.056,0.117,0.078,0.076
"12",0.141,0.077,0.095,0.102,0.182,0.079,0.097,0.065,0.151,0.095,0.031,0.054,0.091,0.102,0.138
"13",0.207,0.132,0.063,0.091,0.114,0.191,0.074,0.164,0.105,0.116,0.099,0.064,0.077,0.098,0.079
"14",0.212,0.17,0.154,0.038,0.083,0.099,0.113,0.076,0.048,0.139,0.065,0.054,0.045,0.067,0.071
"15",0.1,0.161,0.134,0.073,0.04,0.061,0.071,0.06,0.133,0.085,0.076,0.089,0.027,0.06,0.069
"16",0.051,0.089,0.12,0.127,0.076,0.038,0.052,0.058,0.066,0.062,0.11,0.062,0.051,0.044,0.053
"17",0.027,0.06,0.052,0.097,0.104,0.061,0.039,0.045,0.027,0.075,0.088,0.056,0.045,0.042,0.031
"18",0.015,0.031,0.025,0.062,0.055,0.061,0.071,0.041,0.045,0.033,0.06,0.077,0.049,0.038,0.013
"19",0.015,0.012,0.011,0.018,0.019,0.063,0.036,0.043,0.042,0.021,0.071,0.056,0.058,0.042,0.02
"20",0.012,0.017,0.007,0.014,0.021,0.038,0.049,0.05,0.018,0.029,0.048,0.043,0.037,0.038,0.028
"21",0.029,0.012,0.016,0.008,0.017,0.023,0.023,0.036,0.009,0.034,0.028,0.048,0.033,0.04,0.034
"22",0.022,0.01,0.005,0.008,0.012,0.023,0.019,0.03,0.051,0.036,0.031,0.034,0.034,0.035,0.028
"23",0.019,0.01,0.007,0.01,0.007,0.002,0.01,0.013,0.051,0.021,0.032,0.021,0.021,0.024,0.015
"24",0.015,0.019,0.014,0.002,0,0,0.006,0.01,0.021,0.031,0.02,0.037,0.021,0.022,0.023
"25",0.007,0.014,0.016,0.019,0,0.007,0.003,0.005,0.012,0.021,0.015,0.022,0.019,0.033,0.036
"26",0.007,0.01,0.011,0.014,0.002,0.005,0,0.003,0.009,0.013,0.022,0.021,0.016,0.018,0.018
"27",0.005,0.004,0.007,0.014,0.019,0,0.006,0.002,0.003,0.015,0.032,0.013,0.018,0.018,0.033
"28",0.005,0.008,0,0.008,0.019,0.009,0.006,0.005,0,0.007,0.015,0.011,0.009,0.009,0.008
"29",0.002,0.002,0.002,0.003,0.002,0.002,0.003,0.005,0.003,0.003,0.023,0.014,0.004,0.009,0.01
"30+",0.005,0.01,0.02,0.018,0.021,0.023,0.029,0.043,0.042,0.041,0.046,0.056,0.04,0.049,0.071
"n_iss",411,517,441,628,422,444,309,604,332,612,647,626,673,451,609
"n_h",131,166,147,270,184,186,143,302,223,400,357,437,423,370,459
"n_ess",121,212,175,362,214,174,316,368,296,228,306,923,206,733,289
