Year,max,author,max,avg,Fishing,Overfished,overfished
Spawning biomass (mt),,,,,,,
2022,45051,45051,45051,45051,45051,45051,45051
2023,44233,44495,44554,44664,44883,44085,44233
2024,40869,42581,42967,43693,45190,39939,40869
2025,37468,40210,41068,42360,45070,35920,37342
2026,34217,36639,39037,40836,44664,32205,33436
2027,31311,33432,37077,39321,44156,28971,30026
2028,28933,30777,35362,38024,43749,26383,27278
2029,27199,28794,34079,37109,43613,24567,25301
2030,26123,27485,33234,36651,43847,23572,24140
2031,25601,26728,32900,36590,44423,23158,23597
2032,25433,26355,32830,36803,45244,23080,23419
2033,25456,26208,33061,37175,46208,23168,23429
2034,25570,26181,33327,37624,47235,23323,23523
2035,25724,26220,33718,38103,48279,23499,23652
Fishing mortality,,,,,,,
2022,0.029,0.029,0.029,0.029,0.029,0.029,0.029
2023,0.091,0.054,0.046,0.031,,0.112,0.112
2024,0.091,0.052,0.046,0.031,,0.112,0.112
2025,0.091,0.091,0.046,0.031,,0.112,0.112
2026,0.091,0.091,0.046,0.031,,0.112,0.112
2027,0.091,0.091,0.046,0.031,,0.112,0.112
2028,0.091,0.091,0.046,0.031,,0.111,0.111
2029,0.091,0.091,0.046,0.031,,0.104,0.104
2030,0.089,0.091,0.046,0.031,,0.100,0.100
2031,0.087,0.089,0.046,0.031,,0.098,0.098
2032,0.086,0.088,0.046,0.031,,0.097,0.097
2033,0.085,0.087,0.046,0.031,,0.097,0.097
2034,0.085,0.087,0.046,0.031,,0.098,0.098
2035,0.086,0.086,0.046,0.031,,0.098,0.098
Yield (mt),,,,,,,
2022,2644,2644,2644,2644,2644,2644,2644
2023,7917,7917,4044,2728,,9638,7917
2024,7262,7520,3873,2650,,8668,7262
2025,6617,7103,3681,2554,,7748,8055
2026,5992,6418,3474,2443,,6885,7150
2027,5419,5790,3268,2330,,6117,6343
2028,4950,5272,3094,2232,,5463,5693
2029,4626,4914,2981,2172,,4763,5038
2030,4365,4698,2938,2157,,4425,4633
2031,4242,4537,2941,2171,,4325,4482
2032,4211,4452,2963,2198,,4335,4453
2033,4221,4415,2991,2228,,4383,4473
2034,4249,4404,3020,2258,,4441,4509
2035,4286,4409,3049,2288,,4504,4555
