Likelihoods,base,m15.5a,m22,m22.1,m22.2,m22.3,m22a,m22.1a,m22.2a,m22.3a
Catch,26.96,29.70,25.06,24.94,25.24,25.16,25.57,25.40,25.85,25.72
Survey biomass,98.95,118.58,74.21,74.19,75.70,75.70,29.23,29.21,30.05,30.03
Fishery ages,32.84,36.73,36.60,36.41,43.76,43.52,35.06,34.90,41.74,41.52
Survey ages,124.75,145.09,130.01,130.40,140.01,140.32,127.16,127.49,137.85,138.14
Fishery lengths,49.29,57.92,53.82,58.57,55.15,60.12,53.86,58.66,55.04,60.03
Data,332.80,388.03,319.70,324.51,339.86,344.82,270.89,275.66,290.54,295.43
,,,,,,,,,,
Penalties/Priors,,,,,,,,,,
Recruitment devs,38.83,33.91,41.34,42.09,40.88,41.58,36.30,37.13,35.43,36.21
F regularity,31.62,35.51,32.60,32.34,32.91,32.71,34.16,33.87,34.21,33.98
sigr prior,0.25,0.40,0.22,0.20,0.29,0.28,0.34,0.31,0.43,0.41
q prior,0.32,0.60,0.64,0.59,0.83,0.77,0.45,0.41,0.54,0.50
Objective function,468.81,523.65,459.28,464.53,479.47,484.87,406.80,412.08,425.72,431.13
,,,,,,,,,,
Parameter estimates,,,,,,,,,,
# parameters ,124,126,128,128,133,133,128,128,133,133
q,0.70,0.61,0.60,0.62,0.56,0.57,0.65,0.67,0.63,0.64
sigr,1.10,1.01,1.12,1.13,1.07,1.08,1.04,1.05,0.99,1.00
rec,2.22,0.99,0.90,0.87,0.97,0.95,0.96,0.94,1.02,0.99
F40,0.93,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
Projected total biomass,97702,101171,110493,108291,117133,115044,105736,103929,108833,107160
Projected spawning biomass,38362,41453,46083,45142,48951,48056,43847,43083,45164,44495
B100,60855,63038,67517,66669,70174,69358,64914,64249,66181,65565
B40,24342,25215,27007,26667,28070,27743,25966,25699,26473,26226
ABC,7101,7279,8187,8030,8660,8511,7829,7702,8037,7917
