Collection Year,Collection Agency,Collection Name,OBS Gear Code,FMP Area,Reporting Area,ADFG Region,ADFG Statistical Area,Agency Species Code Type,Species Code,Species Group Code,Species Group Name,Number Animals,Weight,Record Count,Contact,Date Received from AKR
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,610,Westward,605502,AKR,172,DUSK,GOA Dusky Rockfish,1,1.7,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",10/31/2022 6:00
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,610,Westward,625431,AKR,172,DUSK,GOA Dusky Rockfish,3,0.65,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",10/31/2022 6:00
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,610,Westward,625432,AKR,172,DUSK,GOA Dusky Rockfish,2,1.85,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",10/31/2022 6:00
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,620,Westward,545631,AKR,172,DUSK,GOA Dusky Rockfish,1,1.05,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",10/31/2022 6:00
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,620,Westward,545632,AKR,172,DUSK,GOA Dusky Rockfish,7,0.65,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",10/31/2022 6:00
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,620,Westward,545802,AKR,172,DUSK,GOA Dusky Rockfish,8,4.5,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",10/31/2022 6:00
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,620,Westward,555600,AKR,172,DUSK,GOA Dusky Rockfish,23,36.75,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",10/31/2022 6:00
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,620,Westward,585532,AKR,172,DUSK,GOA Dusky Rockfish,3,2.15,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",10/31/2022 6:00
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,630,Southcentral,525902,AKR,172,DUSK,GOA Dusky Rockfish,0,0.8,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",10/31/2022 6:00
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,630,Westward,515730,AKR,172,DUSK,GOA Dusky Rockfish,2,2.2,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",10/31/2022 6:00
