item,y1,y2,y3,y4
M (natural mortality),0.07,0.07,0.07,0.07
Tier,3a,3a,3a,3a
Projected total (age 4+) biomass (t),107160,104627,103997,100827
Projected female spawning biomass (t),44651,44651,43197,41200
B100%,65565,65565,65565,65565
B40%,26226,26226,26226,26226
B35%,22948,22948,22948,22948
FOFL,0.11,0.11,0.112,0.112
maxFABC,0.09,0.09,0.091,0.091
FABC,0.09,0.09,0.091,0.091
OFL (t),9638,9154,9281,8796
maxABC (t),7917,7520,7624,7225
ABC (t),7917,7520,7624,7225
blank,NA,NA,NA,NA
Status,2023,2024,2023,2024
Overfishing,NA,NA,NA,NA
Overfished,NA,NA,NA,NA
Approaching overfished,NA,NA,NA,NA
