"","year","age","value","groups","Age","Year"
"1",2000,4,0,"obs","4","2000"
"2",2000,5,0,"obs","5","2000"
"3",2000,6,0.00243309,"obs","6","2000"
"4",2000,7,0,"obs","7","2000"
"5",2000,8,0.0121655,"obs","8","2000"
"6",2000,9,0.00729927,"obs","9","2000"
"7",2000,10,0.0340633,"obs","10","2000"
"8",2000,11,0.0486618,"obs","11","2000"
"9",2000,12,0.141119,"obs","12","2000"
"10",2000,13,0.206813,"obs","13","2000"
"11",2000,14,0.211679,"obs","14","2000"
"12",2000,15,0.0997567,"obs","15","2000"
"13",2000,16,0.0510949,"obs","16","2000"
"14",2000,17,0.026764,"obs","17","2000"
"15",2000,18,0.0145985,"obs","18","2000"
"16",2000,19,0.0145985,"obs","19","2000"
"17",2000,20,0.0121655,"obs","20","2000"
"18",2000,21,0.0291971,"obs","21","2000"
"19",2000,22,0.0218978,"obs","22","2000"
"20",2000,23,0.0194647,"obs","23","2000"
"21",2000,24,0.0145985,"obs","24","2000"
"22",2000,25,0.0316302,"obs","25","2000"
"23",2001,4,0,"obs","4","2001"
"24",2001,5,0,"obs","5","2001"
"25",2001,6,0.00193424,"obs","6","2001"
"26",2001,7,0.00386847,"obs","7","2001"
"27",2001,8,0.00386847,"obs","8","2001"
"28",2001,9,0.0425532,"obs","9","2001"
"29",2001,10,0.0348162,"obs","10","2001"
"30",2001,11,0.0676983,"obs","11","2001"
"31",2001,12,0.0773694,"obs","12","2001"
"32",2001,13,0.131528,"obs","13","2001"
"33",2001,14,0.170213,"obs","14","2001"
"34",2001,15,0.160542,"obs","15","2001"
"35",2001,16,0.0889749,"obs","16","2001"
"36",2001,17,0.0599613,"obs","17","2001"
"37",2001,18,0.0309478,"obs","18","2001"
"38",2001,19,0.0116054,"obs","19","2001"
"39",2001,20,0.0174081,"obs","20","2001"
"40",2001,21,0.0116054,"obs","21","2001"
"41",2001,22,0.00967118,"obs","22","2001"
"42",2001,23,0.00967118,"obs","23","2001"
"43",2001,24,0.0193424,"obs","24","2001"
"44",2001,25,0.0464217,"obs","25","2001"
"45",2002,4,0,"obs","4","2002"
"46",2002,5,0,"obs","5","2002"
"47",2002,6,0,"obs","6","2002"
"48",2002,7,0.00680272,"obs","7","2002"
"49",2002,8,0.00907029,"obs","8","2002"
"50",2002,9,0.0113379,"obs","9","2002"
"51",2002,10,0.104308,"obs","10","2002"
"52",2002,11,0.108844,"obs","11","2002"
"53",2002,12,0.0952381,"obs","12","2002"
"54",2002,13,0.0634921,"obs","13","2002"
"55",2002,14,0.154195,"obs","14","2002"
"56",2002,15,0.133787,"obs","15","2002"
"57",2002,16,0.120181,"obs","16","2002"
"58",2002,17,0.0521542,"obs","17","2002"
"59",2002,18,0.0249433,"obs","18","2002"
"60",2002,19,0.0113379,"obs","19","2002"
"61",2002,20,0.00680272,"obs","20","2002"
"62",2002,21,0.015873,"obs","21","2002"
"63",2002,22,0.00453515,"obs","22","2002"
"64",2002,23,0.00680272,"obs","23","2002"
"65",2002,24,0.0136054,"obs","24","2002"
"66",2002,25,0.0566893,"obs","25","2002"
"67",2003,4,0,"obs","4","2003"
"68",2003,5,0,"obs","5","2003"
"69",2003,6,0.00159236,"obs","6","2003"
"70",2003,7,0,"obs","7","2003"
"71",2003,8,0.0191083,"obs","8","2003"
"72",2003,9,0.0302548,"obs","9","2003"
"73",2003,10,0.0461783,"obs","10","2003"
"74",2003,11,0.176752,"obs","11","2003"
"75",2003,12,0.101911,"obs","12","2003"
"76",2003,13,0.0907643,"obs","13","2003"
"77",2003,14,0.0382166,"obs","14","2003"
"78",2003,15,0.0732484,"obs","15","2003"
"79",2003,16,0.127389,"obs","16","2003"
"80",2003,17,0.0971338,"obs","17","2003"
"81",2003,18,0.0621019,"obs","18","2003"
"82",2003,19,0.0175159,"obs","19","2003"
"83",2003,20,0.0143312,"obs","20","2003"
"84",2003,21,0.00796178,"obs","21","2003"
"85",2003,22,0.00796178,"obs","22","2003"
"86",2003,23,0.00955414,"obs","23","2003"
"87",2003,24,0.00159236,"obs","24","2003"
"88",2003,25,0.0764331,"obs","25","2003"
"89",2004,4,0.00236967,"obs","4","2004"
"90",2004,5,0,"obs","5","2004"
"91",2004,6,0.00473934,"obs","6","2004"
"92",2004,7,0.007109,"obs","7","2004"
"93",2004,8,0.00236967,"obs","8","2004"
"94",2004,9,0.0545024,"obs","9","2004"
"95",2004,10,0.0687204,"obs","10","2004"
"96",2004,11,0.0663507,"obs","11","2004"
"97",2004,12,0.182464,"obs","12","2004"
"98",2004,13,0.113744,"obs","13","2004"
"99",2004,14,0.0829384,"obs","14","2004"
"100",2004,15,0.0402844,"obs","15","2004"
"101",2004,16,0.0758294,"obs","16","2004"
"102",2004,17,0.104265,"obs","17","2004"
"103",2004,18,0.0545024,"obs","18","2004"
"104",2004,19,0.0189573,"obs","19","2004"
"105",2004,20,0.021327,"obs","20","2004"
"106",2004,21,0.0165877,"obs","21","2004"
"107",2004,22,0.0118483,"obs","22","2004"
"108",2004,23,0.007109,"obs","23","2004"
"109",2004,24,0,"obs","24","2004"
"110",2004,25,0.063981,"obs","25","2004"
"111",2005,4,0,"obs","4","2005"
"112",2005,5,0,"obs","5","2005"
"113",2005,6,0,"obs","6","2005"
"114",2005,7,0.00225225,"obs","7","2005"
"115",2005,8,0.0045045,"obs","8","2005"
"116",2005,9,0.0135135,"obs","9","2005"
"117",2005,10,0.0923423,"obs","10","2005"
"118",2005,11,0.103604,"obs","11","2005"
"119",2005,12,0.0788288,"obs","12","2005"
"120",2005,13,0.191441,"obs","13","2005"
"121",2005,14,0.0990991,"obs","14","2005"
"122",2005,15,0.0608108,"obs","15","2005"
"123",2005,16,0.0382883,"obs","16","2005"
"124",2005,17,0.0608108,"obs","17","2005"
"125",2005,18,0.0608108,"obs","18","2005"
"126",2005,19,0.0630631,"obs","19","2005"
"127",2005,20,0.0382883,"obs","20","2005"
"128",2005,21,0.0225225,"obs","21","2005"
"129",2005,22,0.0225225,"obs","22","2005"
"130",2005,23,0.00225225,"obs","23","2005"
"131",2005,24,0,"obs","24","2005"
"132",2005,25,0.045045,"obs","25","2005"
"133",2006,4,0,"obs","4","2006"
"134",2006,5,0,"obs","5","2006"
"135",2006,6,0,"obs","6","2006"
"136",2006,7,0.00647249,"obs","7","2006"
"137",2006,8,0.02589,"obs","8","2006"
"138",2006,9,0.0355987,"obs","9","2006"
"139",2006,10,0.0776699,"obs","10","2006"
"140",2006,11,0.145631,"obs","11","2006"
"141",2006,12,0.0970874,"obs","12","2006"
"142",2006,13,0.0744337,"obs","13","2006"
"143",2006,14,0.113269,"obs","14","2006"
"144",2006,15,0.0711974,"obs","15","2006"
"145",2006,16,0.0517799,"obs","16","2006"
"146",2006,17,0.038835,"obs","17","2006"
"147",2006,18,0.0711974,"obs","18","2006"
"148",2006,19,0.0355987,"obs","19","2006"
"149",2006,20,0.0485437,"obs","20","2006"
"150",2006,21,0.0226537,"obs","21","2006"
"151",2006,22,0.0194175,"obs","22","2006"
"152",2006,23,0.00970874,"obs","23","2006"
"153",2006,24,0.00647249,"obs","24","2006"
"154",2006,25,0.0485437,"obs","25","2006"
"155",2008,4,0,"obs","4","2008"
"156",2008,5,0,"obs","5","2008"
"157",2008,6,0,"obs","6","2008"
"158",2008,7,0.00662252,"obs","7","2008"
"159",2008,8,0.00662252,"obs","8","2008"
"160",2008,9,0.0380795,"obs","9","2008"
"161",2008,10,0.0860927,"obs","10","2008"
"162",2008,11,0.109272,"obs","11","2008"
"163",2008,12,0.0645695,"obs","12","2008"
"164",2008,13,0.163907,"obs","13","2008"
"165",2008,14,0.0761589,"obs","14","2008"
"166",2008,15,0.0596026,"obs","15","2008"
"167",2008,16,0.057947,"obs","16","2008"
"168",2008,17,0.044702,"obs","17","2008"
"169",2008,18,0.0413907,"obs","18","2008"
"170",2008,19,0.0430464,"obs","19","2008"
"171",2008,20,0.0496689,"obs","20","2008"
"172",2008,21,0.0364238,"obs","21","2008"
"173",2008,22,0.0298013,"obs","22","2008"
"174",2008,23,0.013245,"obs","23","2008"
"175",2008,24,0.00993377,"obs","24","2008"
"176",2008,25,0.0629139,"obs","25","2008"
"177",2010,4,0,"obs","4","2010"
"178",2010,5,0,"obs","5","2010"
"179",2010,6,0,"obs","6","2010"
"180",2010,7,0,"obs","7","2010"
"181",2010,8,0.0060241,"obs","8","2010"
"182",2010,9,0.0331325,"obs","9","2010"
"183",2010,10,0.0542169,"obs","10","2010"
"184",2010,11,0.0692771,"obs","11","2010"
"185",2010,12,0.150602,"obs","12","2010"
"186",2010,13,0.105422,"obs","13","2010"
"187",2010,14,0.0481928,"obs","14","2010"
"188",2010,15,0.13253,"obs","15","2010"
"189",2010,16,0.0662651,"obs","16","2010"
"190",2010,17,0.0271084,"obs","17","2010"
"191",2010,18,0.0451807,"obs","18","2010"
"192",2010,19,0.0421687,"obs","19","2010"
"193",2010,20,0.0180723,"obs","20","2010"
"194",2010,21,0.00903614,"obs","21","2010"
"195",2010,22,0.0512048,"obs","22","2010"
"196",2010,23,0.0512048,"obs","23","2010"
"197",2010,24,0.0210843,"obs","24","2010"
"198",2010,25,0.0692771,"obs","25","2010"
"199",2012,4,0,"obs","4","2012"
